Substitution Matrix
0	0	8	2	15	0	0	11	9	0	0	10	2	5	1	0	0	53	4	8	0	0	0	0	0	0	
2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	21	0	1	0	0	0	0	0	0	
1	0	0	0	4	0	0	0	10	0	0	0	0	4	4	0	0	00	1	1	0	0	0	0	0	0	
0	0	0	0	3	0	0	0	2	0	0	4	0	5	0	0	0	00	1	0	0	0	0	0	0	0	
8	0	2	4	0	2	4	5	55	0	3	10	4	4	8	1	0	52	3	2	2	0	0	3	0	0	
0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	00	0	0	1	0	0	0	0	0	
0	0	0	0	1	0	0	0	7	0	0	0	0	5	0	0	0	00	0	1	0	0	0	0	0	0	
1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	01	15	0	0	4	0	0	0	0	
11	1	8	2	31	1	1	2	0	0	0	3	1	2	3	0	0	68	9	1	0	2	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	
7	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	20	0	0	0	0	0	0	0	0	
7	1	1	0	13	0	0	0	6	0	0	0	0	1	3	1	0	00	0	2	0	0	0	1	0	0	
3	0	0	0	0	0	0	0	9	0	0	0	0	4	5	0	0	10	0	0	0	0	0	0	0	0	
8	0	0	1	3	0	1	1	8	0	2	0	1	0	1	0	0	21	0	0	0	0	0	0	0	0	
2	0	3	0	1	0	1	2	1	0	0	1	2	3	0	0	0	10	1	4	4	0	2	0	0	0	0	
1	0	0	0	3	0	0	1	2	0	0	0	4	0	3	0	0	01	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	
23	0	0	0	17	0	0	0	7	0	0	0	0	0	11	0	0	01	0	5	0	1	0	0	0	0	
7	0	4	3	5	0	0	0	13	0	0	2	2	3	2	2	0	20	2	10	0	0	0	4	1	0	
5	0	3	1	6	0	0	2	6	0	0	1	0	3	1	0	0	01	0	4	0	0	0	0	0	0	
6	0	6	1	10	0	1	0	5	0	0	2	0	1	3	0	0	30	3	0	1	0	0	0	0	0	
3	0	0	0	1	1	0	0	1	0	0	1	0	0	2	0	0	00	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	11	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	
4	0	0	1	1	0	0	4	0	0	0	2	0	0	0	0	0	31	1	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	01	0	0	0	0	0	0	0	0	
