0	0	1	2	1	0	0	0	8	0	1	0	0	4	0	0	0	4	3	2	2	0	0	0	2	0	0	
3	1	0	0	3	0	0	0	2	0	0	4	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	
1	0	24	0	3	0	0	8	5	0	1	2	0	1	1	1	0	0	1	1	3	0	0	0	0	0	0	
4	0	0	16	9	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
11	0	2	8	23	0	0	0	0	0	2	0	1	4	0	1	0	8	6	1	0	0	0	0	0	0	0	
0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2	0	0	0	3	0	5	1	4	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	
2	0	0	0	4	0	1	3	1	0	0	0	1	0	0	0	0	3	1	5	2	0	0	0	2	0	0	
2	0	4	5	8	0	0	0	4	0	0	0	0	8	3	1	0	0	5	4	3	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
0	0	0	0	2	0	0	0	19	0	1	52	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	
2	1	0	0	6	0	0	0	1	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	6	2	10	0	2	1	7	0	0	0	0	27	2	0	0	1	1	5	0	0	0	0	1	0	0	
1	0	0	0	3	0	0	0	0	0	0	0	0	2	10	2	0	4	0	1	16	0	0	0	0	0	0	
0	0	0	0	7	0	0	1	1	0	0	0	0	0	4	13	0	5	0	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	1	0	11	0	0	0	14	0	0	0	1	0	2	0	0	30	1	1	3	0	0	0	1	0	0	
1	0	7	2	7	0	0	0	6	0	0	0	0	0	0	0	0	1	59	2	1	0	0	0	0	0	0	
5	0	0	1	10	0	1	8	6	1	0	0	0	1	1	0	0	5	1	21	0	0	0	0	2	0	0	
2	0	0	2	6	0	0	0	4	0	0	0	0	2	1	0	0	4	1	1	0	0	0	0	0	0	0	
0	0	0	0	4	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	4	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	12	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
